"word","part_of_speech"
"Mouthe","M"
"Mouton","M"
"Mowgli","M"
"Mozambican","SM"
"Mozambique","M"
"Mozart","M"
"Mozilla","M"
"Mr","SM"
"Ms","S"
"Msgr",NA
"Mt",NA
"Muawiya","M"
"Mubarak","M"
"Mueller","M"
"Muenster","MS"
"Mugabe","M"
"Muhammad","M"
"Muhammadan","MS"
"Muhammadanism","SM"
"Muir","M"
"Mujib","M"
"Mulder","M"
"Mullen","M"
"Muller","M"
"Mulligan","M"
"Mullikan","M"
"Mullins","M"
"Mulroney","M"
"Multan","M"
"Multics",NA
"Mumbai","M"
"Mumford","M"
"Munch","M"
"Munchhausen","M"
"Muncie","M"
"Munich","M"
"Munoz","M"
"Munro","M"
"Munster","M"
"Muppet","M"
"Murasaki","M"
"Murat","M"
"Murchison","M"
"Murcia",NA
"Murdoch","M"
"Murfreesboro","M"
"Muriel","M"
"Murillo","M"
"Murine","M"
"Murmansk","M"
"Murphy","M"
"Murray","M"
"Murrieta","M"
"Murrow","M"
"Murrumbidgee","M"
"Muscat","M"
"Muscovite","M"
"Muscovy","M"
"Muse","M"
"Musharraf","M"
"Musial","M"
"Muskegon","M"
"Muskogee","M"
"Muslim","MS"
"Mussolini","M"
"Mussorgsky","M"
"Mutsuhito","M"
"Muzak","M"
"MySQL","M"
"MySpace","M"
"Myanmar","M"
"Mycenae","M"
"Mycenaean","M"
"Myers","M"
"Mylar","MS"
"Myles","M"
"Myra","M"
"Myrdal","M"
"Myrna","M"
"Myron","M"
"Myrtle","M"
"Mysore","M"
"Myst","M"
"N'Djamena",NA
"N","MD"
"NAACP","M"
"NAFTA","M"
"NASA","M"
"NASCAR","M"
"NASDAQ","M"
"NATO","M"
"NB",NA
"NBA","M"
"NBC","M"
"NBS",NA
"NC",NA
"NCAA","M"
"NCO",NA
"ND",NA
"NE","M"
"NEH",NA
"NF",NA
"NFC",NA
"NFL","M"
"NH",NA
"NHL","M"
"NIH",NA
"NIMBY",NA
"NJ",NA
"NLRB",NA
"NM",NA
"NORAD","M"
"NOW",NA
"NP",NA
"NPR","M"
"NR",NA
"NRA",NA
"NRC",NA
"NS",NA
"NSA","M"
"NSC",NA
"NSF",NA
"NSFW",NA
"NT",NA
"NV",NA
"NVIDIA","M"
"NW","M"
"NWT",NA
"NY",NA
"NYC",NA
"NYSE",NA
"NZ",NA
"Na","M"
"Nabisco","M"
"Nabokov","M"
"Nader","M"
"Nadia","M"
"Nadine","M"
"Nagasaki","M"
"Nagoya","M"
"Nagpur","M"
"Nagy","M"
"Nahuatl","MS"
"Nahum","M"
"Naipaul","M"
"Nair","M"
"Nairobi","M"
"Naismith","M"
"Nam","M"
"Namath","M"
"Namibia","M"
"Namibian","MS"
"Nampa","M"
"Nan","M"
"Nanak","M"
"Nanchang","M"
"Nancy","M"
"Nanette","M"
"Nanjing","M"
"Nannie","M"
"Nanook","M"
"Nansen","M"
"Nantes","M"
"Nantucket","M"
"Naomi","M"
"Napa","M"
"Naphtali","M"
"Napier","M"
"Naples","M"
"Napoleon","MS"
"Napoleonic","M"
"Napster","M"
"Narcissus","M"
"Narmada","M"
"Narnia","M"
"Narraganset",NA
"Narragansett","M"
"Nash","M"
"Nashua","M"
"Nashville","M"
"Nassau","M"
"Nasser","M"
"Nat","M"
"Natalia","M"
"Natalie","M"
"Natasha","M"
"Natchez","M"
"Nate","MN"
"Nathan","SM"
"Nathaniel","M"
"Nathans","M"
"Nation","M"
"Nationwide","M"
"Nativity","M"
"Naugahyde","M"
"Nauru","M"
"Nautilus","M"
"Navajo","SM"
"Navajoes",NA
"Navarre","M"
"Navarro","M"
"Navratilova","M"
"Navy",NA
"Nazarene","M"
"Nazareth","M"
"Nazca","M"
"Nazi","SM"
"Nazism","MS"
"Nb","M"
"Nd","M"
"Ndjamena","M"
"Ne","M"
"NeWS",NA
"NeWSes",NA
"Neal","M"
"Neanderthal","SM"
"Neapolitan","M"
"Neb",NA
"Nebr",NA
"Nebraska","M"
"Nebraskan","MS"
"Nebuchadnezzar","M"
"Ned","M"
"Nefertiti","M"
"Negev","M"
"Negress","MS"
"Negritude",NA
"Negro","MS"
"Negroes",NA
"Negroid","SM"
"Negros","M"
"Nehemiah","M"
"Nehru","M"
"Neil","M"
"Nelda","M"
"Nell","M"
"Nellie","M"
"Nelly","M"
"Nelsen","M"
"Nelson","M"
"Nembutal","M"
"Nemesis","M"
"Neo","M"
"Neogene","M"
"Neolithic",NA
"Nepal","M"
"Nepalese","M"
"Nepali","MS"
"Neptune","M"
"Nereid","M"
"Nerf","M"
"Nero","M"
"Neruda","M"
"Nescafe","M"
"Nesselrode","M"
"Nestle","M"
"Nestor","M"
"Nestorius","M"
"Netflix","M"
"Netherlander","SM"
"Netherlands","M"
"Netscape","M"
"Nettie","M"
"Netzahualcoyotl","M"
"Nev","M"
"Neva","M"
"Nevada","M"
"Nevadan","SM"
"Nevadian",NA
"Nevis","M"
"Nevsky","M"
"Newark","M"
"Newburgh","M"
"Newcastle","M"
"Newfoundland","MRS"
"Newman","M"
"Newport","M"
"Newsweek","M"
"Newton","M"
"Newtonian","M"
"Nexis","M"
"Ngaliema","M"
"Nguyen","M"
"Ni","M"
"Niagara","M"
"Niamey","M"
"Nibelung","M"
"Nicaea","M"
"Nicaragua","M"
"Nicaraguan","SM"
"Niccolo","M"
"Nice","M"
"Nicene","M"
"Nichiren","M"
"Nicholas","M"
"Nichole","M"
"Nichols","M"
"Nicholson","M"
"Nick","M"
"Nickelodeon","M"
"Nicklaus","M"
"Nickolas","M"
"Nicobar","M"
"Nicodemus","M"
"Nicola","SM"
"Nicolas","M"
"Nicole","M"
"Nicosia","M"
"Niebuhr","M"
"Nielsen","M"
"Nietzsche","M"
"Nieves","M"
"Nigel","M"
"Niger","M"
"Nigeria","M"
"Nigerian","MS"
"Nigerien","M"
"Nightingale","M"
"Nijinsky","M"
"Nike","M"
"Nikita","M"
"Nikkei","M"
"Nikki","M"
"Nikolai","M"
"Nikon","M"
"Nile","M"
"Nimitz","M"
"Nimrod","M"
"Nina","M"
"Nineveh","M"
"Nintendo","M"
"Niobe","M"
"Nippon","M"
"Nipponese","M"
"Nirenberg","M"
"Nirvana","M"
"Nisan","M"
"Nisei","M"
"Nissan","M"
"Nita","M"
"Nivea","M"
"Nixon","M"
"Nkrumah","M"
"No","SM"
"NoDoz","M"
"Noah","M"
"Nobel","M"
"Nobelist","MS"
"Noble","M"
"Noe","M"
"Noel","SM"
"Noelle","M"
"Noemi","M"
"Nokia","M"
"Nola","M"
"Nolan","M"
"Nome","M"
"Nona","M"
"Nootka","M"
"Nora","M"
"Norbert","M"
"Norberto","M"
"Nordic","MS"
"Noreen","M"
"Norfolk","M"
"Noriega","M"
"Norma","M"
"Normal","M"
"Norman","MS"
"Normand","M"
"Normandy","M"
"Norplant","M"
"Norris","M"
"Norse","M"
"Norseman","M"
"Norsemen","M"
"North","M"
"Northampton","M"
"Northeast","MS"
"Northerner","M"
"Northrop","M"
"Northrup","M"
"Norths",NA
"Northwest","SM"
"Norton","M"
"Norw",NA
"Norway","M"
"Norwegian","SM"
"Norwich","M"
"Nosferatu","M"
"Nostradamus","M"
"Nottingham","M"
"Nouakchott","M"
"Noumea","M"
"Nov","M"
"Nova","M"
"Novartis","M"
"November","MS"
"Novgorod","M"
"Novocain","MS"
"Novocaine",NA
"Novokuznetsk","M"
"Novosibirsk","M"
"Noxzema","M"
"Noyce","M"
"Noyes","M"
"Np","M"
"Nubia","M"
"Nubian","M"
"Nukualofa","M"
"Numbers","M"
"Nunavut","M"
"Nunez","M"
"Nunki","M"
"Nuremberg","M"
"Nureyev","M"
"NutraSweet","M"
"NyQuil","M"
"Nyasa","M"
"Nyerere","M"
"O'Brien","M"
"O'Casey","M"
"O'Connell","M"
"O'Connor","M"
"O'Donnell","M"
"O'Hara","M"
"O'Higgins","M"
"O'Keeffe","M"
"O'Neil","M"
"O'Neill","M"
"O'Rourke","M"
"O'Toole","M"
"O","SM"
"OAS","M"
"OB",NA
"OCR",NA
"OD","SM"
"OE",NA
"OED",NA
"OH",NA
"OHSA","M"
"OJ",NA
"OK","SMDG"
"OMB","M"
"ON",NA
"OPEC","M"
"OR",NA
"OS","M"
"OSHA","M"
"OSes",NA
"OT",NA
"OTB",NA
"OTC",NA
"OTOH",NA
"Oahu","M"
"Oakland","M"
"Oakley","M"
"Oates","M"
"Oaxaca","M"
"Ob","M"
"Obadiah","M"
"Obama","M"
"Obamacare",NA
"Oberlin","M"
"Oberon","M"
"Ocala","M"
"Ocaml","M"
"Occam","M"
"Occident",NA
"Occidental","MS"
"Oceania","M"
"Oceanside",NA
"Oceanus","M"
"Ochoa","M"
"Oct","M"
"Octavia","M"
"Octavian","M"
"Octavio","M"
"October","SM"
"Odell","M"
"Oder","M"
"Odessa","M"
"Odets","M"
"Odin","M"
"Odis","M"
"Odom","M"
"Odysseus","M"
"Odyssey","M"
"Oedipal","M"
"Oedipus","M"
"Oersted","M"
"Ofelia","M"
"Offenbach","M"
"OfficeMax","M"
"Ogbomosho","M"
"Ogden","M"
"Ogilvy","M"
"Oglethorpe","M"
"Ohio","M"
"Ohioan","SM"
"Oise","M"
"Ojibwa","SM"
"Okayama",NA
"Okeechobee","M"
"Okefenokee","M"
"Okhotsk","M"
"Okinawa","M"
"Okinawan",NA
"Okla",NA
"Oklahoma","M"
"Oklahoman","M"
"Oktoberfest","M"
"Ola","M"
"Olaf","M"
"Olajuwon","M"
"Olav","M"
"Oldenburg","M"
"Oldfield","M"
"Oldsmobile","M"
"Olduvai","M"
"Olen","M"
"Olenek","M"
"Olga","M"
"Oligocene","M"
"Olin","M"
"Olive","MR"
"Oliver","M"
"Olivetti","M"
"Olivia","M"
"Olivier","M"
"Ollie","M"
"Olmec","M"
"Olmsted","M"
"Olsen","M"
"Olson","M"
"Olympia","SM"
"Olympiad","MS"
"Olympian","MS"
"Olympic","SM"
"Olympics","M"
"Olympus","M"
"Omaha","MS"
"Oman","M"
"Omani","MS"
"Omar","M"
"Omayyad","M"
"Omdurman","M"
"Omnipotent",NA
"Omsk","M"
"Onassis","M"
"Oneal","M"
"Onega","M"
"Onegin","M"
"Oneida","MS"
"Onion","M"
"Ono","M"
"Onondaga","MS"
"Onsager","M"
"Ont",NA
"Ontarian",NA
"Ontario","M"
"Oort","M"
"Opal","M"
"Opel","M"
"OpenOffice","M"
"Ophelia","M"
"Ophiuchus","M"
"Oppenheimer","M"
"Opposition",NA
"Oprah","M"
"Ora","M"
"Oracle","M"
"Oran","M"
"Orange","M"
"Oranjestad","M"
"Orbison","M"
"Ordovician","M"
"Ore","N"
"Oreg",NA
"Oregon","M"
"Oregonian","SM"
"Orem","M"
"Oreo","M"
"Orestes","M"
"Orient","M"
"Oriental","MS"
"Orientalism",NA
"Orin","M"
"Orinoco","M"
"Orion","M"
"Oriya","M"
"Orizaba","M"
"Orkney","M"
"Orlando","M"
"Orleans","M"
"Orlon","MS"
"Orly","M"
"Orpheus","M"
"Orphic","M"
"Orr","M"
"Ortega","M"
"Orthodox",NA
"Ortiz","M"
"Orval","M"
"Orville","M"
"Orwell","M"
"Orwellian","M"
"Os","M"
"Osage","MS"
"Osaka","M"
"Osbert","M"
"Osborn","M"
"Osborne","M"
"Oscar","MS"
"Osceola","M"
"Osgood","M"
"Oshawa","M"
"Oshkosh","M"
"Osiris","M"
"Oslo","M"
"Osman","M"
"Ostrogoth","M"
"Ostwald","M"
"Osvaldo","M"
"Oswald","M"
"Othello","M"
"Otis","M"
"Ottawa","SM"
"Otto","M"
"Ottoman","M"
"Ouagadougou","M"
"Ouija","MS"
"Ovid","M"
"Owen","SM"
"Owens","M"
"Owensboro","M"
"Oxford","SM"
"Oxnard","M"
"Oxonian","M"
"Oxus","M"
"Oxycontin","M"
"Oz","M"
"Ozark","MS"
"Ozarks","M"
"Ozymandias","M"
"Ozzie","M"
"P","MN"
"PA","M"
"PAC","M"
"PARC","S"
"PASCAL",NA
"PBS","M"
"PBX",NA
"PC","SM"
"PCB",NA
"PCMCIA",NA
"PCP","M"
"PD",NA
"PDF",NA
"PDQ",NA
"PDT",NA
"PE",NA
"PET","M"
"PFC",NA
"PG",NA
"PGP",NA
"PHP","M"
"PIN",NA
"PJ's",NA
"PLO","M"
"PM","SMDG"
"PMS","M"
"PO",NA
"POW","M"
"PP",NA
"PPS",NA
"PR",NA
"PRC","M"
"PRO",NA
"PS","M"
"PST","M"
"PT",NA
"PTA","M"
"PTO",NA
"PVC","M"
"PW",NA
"PX",NA
"Pa","M"
"Paar","M"
"Pablo","M"
"Pablum","M"
"Pabst","M"
"Pace","M"
"Pacheco","M"
"Pacific","M"
"Pacino","M"
"Packard","M"
"Padang",NA
"Paderewski","M"
"Padilla","M"
"Paganini","M"
"Page","M"
"Paglia","M"
"Pahlavi","M"
"Paige","M"
"Paine","M"
"Paiute","SM"
"Pakistan","M"
"Pakistani","SM"
"Palembang","M"
"Paleocene","M"
"Paleogene","M"
"Paleolithic","M"
"Paleozoic","M"
"Palermo","M"
"Palestine","M"
"Palestinian","SM"
"Palestrina","M"
"Paley","M"
"Palikir","M"
"Palisades","M"
"Palladio","M"
"Palmdale","M"
"Palmer","M"
"Palmerston","M"
"Palmolive","M"
"Palmyra","M"
"Palomar","M"
"Pam","M"
"Pamela","M"
"Pamirs","M"
"Pampers","M"
"Pan","M"
"Panama","SM"
"Panamanian","MS"
"Panasonic","M"
"Pandora","M"
"Pangaea","M"
"Pankhurst","M"
"Panmunjom","M"
"Pansy","M"
"Pantagruel","M"
"Pantaloon","M"
"Pantheon","M"
"Panza","M"
"Paracelsus","M"
"Paraclete","M"
"Paradise",NA
"Paraguay","M"
"Paraguayan","MS"
"Paralympic","S"
"Paramaribo","M"
"Paramount","M"
"Parana","M"
"Parcheesi","M"
"Pareto","M"
"Paris","M"
"Parisian","MS"
"Park","SMR"
"Parker","M"
"Parkersburg","M"
"Parkinson","M"
"Parkinsonism",NA
"Parkman","M"
"Parks","M"
"Parliament","M"
"Parmenides",NA
"Parmesan","MS"
"Parnassus","MS"
"Parnell","M"
"Parr","M"
"Parrish","M"
"Parsifal","M"
"Parsons","M"
"Parthenon","M"
"Parthia","M"
"Pasadena","M"
"Pascagoula","M"
"Pascal","SM"
"Pasco","M"
"Pasquale","M"
"Passion","SM"
"Passover","MS"
"Pasternak","M"
"Pasteur","M"
"Pat","M"
"Patagonia","M"
"Patagonian","M"
"Pate","M"
"Patel","M"
"Paterson","M"
"Patna","M"
"Patrica","M"
"Patrice","M"
"Patricia","M"
"Patrick","M"
"Patsy","M"
"Patterson","M"
"Patti","M"
"Patton","M"
"Patty","M"
"Paul","GM"
"Paula","M"
"Paulette","M"
"Pauli","M"
"Pauline","M"
"Pauling","M"
"Pavarotti","M"
"Pavlov","M"
"Pavlova","M"
"Pavlovian","M"
"Pawnee","SM"
"PayPal","M"
"Payne","M"
"Pb","M"
"Pd","M"
"Peabody","M"
"Peace","M"
"Peale","M"
"Pearl","M"
"Pearlie","M"
"Pearson","M"
"Peary","M"
"Pechora","M"
"Peck","M"
"Peckinpah","M"
"Pecos","M"
"Pedro","M"
"Peel","M"
"Peg","M"
"Pegasus","MS"
"Peggy","M"
"Pei","M"
"Peiping","M"
"Peking","SM"
"Pekingese","SM"
"Pele","M"
"Pelee","M"
"Peloponnese","M"
"Pembroke","M"
"Pen","M"
"Pena","M"
"Penderecki","M"
"Penelope","M"
"Penn","M"
"Penna",NA
"Penney","M"
"Pennington","M"
"Pennsylvania","M"
"Pennsylvanian","MS"
"Penny","M"
"Pennzoil","M"
"Pensacola","M"
"Pentagon","M"
"Pentateuch","M"
"Pentax","M"
"Pentecost","SM"
"Pentecostal","MS"
"Pentecostalism",NA
"Pentium","SM"
"Peoria","M"
"Pepin","M"
"Pepsi","M"
"Pepys","M"
"Pequot","M"
"Percheron","M"
"Percival","M"
"Percy","M"
"Perelman","M"
"Perez","M"
"Periclean","M"
"Pericles","M"
"Perkins","M"
"Perl","SM"
"Perm","M"
"Permalloy","M"
"Permian","M"
"Pernod","M"
"Peron","M"
"Perot","M"
"Perrier","M"
"Perry","RM"
"Perseid","M"
"Persephone","M"
"Persepolis","M"
"Perseus","M"
"Pershing","M"
"Persia","M"
"Persian","SM"
"Perth","M"
"Peru","M"
"Peruvian","MS"
"Peshawar","M"
"Petain","M"
"Petaluma","M"
"Pete","RMZ"
"Peter","M"
"Peters","MN"
"Petersen","M"
"Peterson","M"
"Petra","M"
"Petrarch","M"
"Petty","M"
"Peugeot","M"
"Pfc",NA
"Pfizer","M"
"PhD","M"
"Phaedra","M"
"Phaethon","M"
"Phanerozoic","M"
"Pharaoh","M"
"Pharaohs",NA
"Pharisaic",NA
"Pharisaical",NA
"Pharisee","MS"
"Phekda","M"
"Phelps","M"
"Phidias","M"
"Phil","MY"
"Philadelphia","M"
"Philby","M"
"Philemon","M"
"Philip","MS"
"Philippe","M"
"Philippians","M"
"Philippine","SM"
"Philippines","M"
"Philips","M"
"Philistine","M"
"Phillip","SM"
"Phillipa","M"
"Phillips","M"
"Philly","M"
"Phipps","M"
"Phobos","M"
"Phoebe","M"
"Phoenicia","M"
"Phoenician","SM"
"Phoenix","M"
"Photostat","MS"
"Photostatted",NA
"Photostatting",NA
"Phrygia","M"
"Phyllis","M"
"Piaf","M"
"Piaget","M"
"Pianola","M"
"Picasso","M"
"Piccadilly","M"
"Pickering","M"
"Pickett","M"
"Pickford","M"
"Pickwick","M"
"Pict","M"
"Piedmont","M"
"Pierce","M"
"Pierre","M"
"Pierrot","M"
"Pike","M"
"Pilate","MS"
"Pilates","M"
"Pilcomayo","M"
"Pilgrim","SM"
"Pillsbury","M"
"Pinatubo","M"
"Pincus","M"
"Pindar","M"
"Pinkerton","M"
"Pinocchio","M"
"Pinochet","M"
"Pinter","M"
"Pinyin",NA
"Pippin","M"
"Piraeus","M"
"Pirandello","M"
"Pisa","M"
"Pisces","M"
"Pisistratus","M"
"Pissaro","M"
"Pitcairn","M"
"Pitt","SM"
"Pittman","M"
"Pitts","M"
"Pittsburgh","M"
"Pittsfield","M"
"Pius","M"
"Pizarro","M"
"Pkwy",NA
"Pl",NA
"Planck","M"
"Plano",NA
"Plantagenet","M"
"Plasticine","M"
"Plataea","M"
"Plath","M"
"Plato","M"
"Platonic",NA
"Platonism","M"
"Platonist","M"
"Platte","M"
"Plautus","M"
"PlayStation","M"
"Playboy","M"
"Playtex","M"
"Pleiades","M"
"Pleistocene","M"
"Plexiglas","MS"
"Pliny","M"
"Pliocene","SM"
"Plutarch","M"
"Pluto","M"
"Plymouth","M"
"Pm","M"
"Po","M"
"Pocahontas","M"
"Pocatello","M"
"Pocono","SM"
"Poconos","M"
"Podgorica","M"
"Podhoretz","M"
"Podunk","M"
"Poe","M"
"Pogo","M"
"Poincare","M"
"Poiret","M"
"Poirot","M"
"Poisson","M"
"Poitier","M"
"Pokemon","M"
"Pol","MY"
"Poland","M"
"Polanski","M"
"Polaris","M"
"Polaroid","MS"
"Pole","SM"
"Polish","M"
"Politburo","M"
"Polk","M"
"Pollard","M"
"Pollock","M"
"Pollux","M"
"Polly","M"
"Pollyanna","M"
"Polo","M"
"Poltava","M"
"Polyhymnia","M"
"Polynesia","M"
"Polynesian","MS"
"Polyphemus","M"
"Pomerania","M"
"Pomeranian","M"
"Pomona","M"
"Pompadour","M"
"Pompeian",NA
"Pompeii","M"
"Pompey","M"
"Ponce","M"
"Pontchartrain","M"
"Pontiac","M"
"Pontianak","M"
"Pooh","M"
"Poole","M"
"Poona","M"
"Pope","M"
"Popeye","M"
"Popocatepetl","M"
"Popper","M"
"Poppins","M"
"Popsicle","M"
"Porfirio","M"
"Porrima","M"
"Porsche","M"
"Port","MR"
"Porter","M"
"Porterville","M"
"Portia","M"
"Portland","M"
"Porto","M"
"Portsmouth","M"
"Portugal","M"
"Portuguese","M"
"Poseidon","M"
"Post","M"
"PostgreSQL","M"
"Potemkin","M"
"Potomac","M"
"Potsdam","M"
"Pottawatomie","M"
"Potter","M"
"Potts","M"
"Pottstown","M"
"Poughkeepsie","M"
"Pound","M"
"Poussin","M"
"Powell","M"
"PowerPC","M"
"PowerPoint","M"
"Powers","M"
"Powhatan","M"
"Poznan","M"
"Pr","M"
"Prada","M"
"Prado","M"
"Praetorian","M"
"Prague","M"
"Praia","M"
"Prakrit","M"
"Pratchett","M"
"Pratt","M"
"Pravda","M"
"Praxiteles","M"
"Preakness","M"
"Precambrian","M"
"Preminger","M"
"Premyslid","M"
"Prensa","M"
"Prentice","M"
"Pres",NA
"Presbyterian","SM"
"Presbyterianism","MS"
"Prescott","M"
"Presley","M"
"Preston","M"
"Pretoria","M"
"Priam","M"
"Pribilof","M"
"Price","M"
"Priceline","M"
"Priestley","M"
"Prince","M"
"Princeton","M"
"Principe","M"
"Priscilla","M"
"Prius","M"
"Private",NA
"Procrustean","M"
"Procrustes","M"
"Procter","M"
"Procyon","M"
"Prof",NA
"Prohibition",NA
"Prokofiev","M"
"Promethean","M"
"Prometheus","M"
"Prophets",NA
"Proserpina","M"
"Proserpine","M"
"Protagoras","M"
"Proterozoic","M"
"Protestant","MS"
"Protestantism","SM"
"Proteus","M"
"Proudhon","M"
"Proust","M"
"Provencal","MS"
"Provence","M"
"Proverbs",NA
"Providence","SM"
"Provo","M"
"Prozac","MS"
"Prudence","M"
"Prudential","M"
"Pruitt","M"
"Prussia","M"
"Prussian","MS"
"Prut","M"
"Pryor","M"
"Psalms","M"
"Psalter","MS"
"Psyche","M"
"Pt","M"
"Ptah","M"
"Ptolemaic","M"
"Ptolemy","SM"
"Pu","M"
"Puccini","M"
"Puck","M"
"Puckett","M"
"Puebla","M"
"Pueblo","M"
"Puerto",NA
"Puget","M"
"Pugh","M"
"Pulaski","M"
"Pulitzer","M"
"Pullman","MS"
"Punch","M"
"Punic","M"
"Punjab","M"
"Punjabi","M"
"Purana","M"
"Purcell","M"
"Purdue","M"
"Purim","MS"
"Purina","M"
"Puritan","M"
"Puritanism","MS"
"Purus","M"
"Pusan","M"
"Pusey","M"
"Pushkin","M"
"Pushtu","M"
"Putin","M"
"Putnam","M"
"Puzo","M"
"Pvt",NA
"PyTorch","M"
"Pygmalion","M"
"Pygmy","SM"
"Pyle","M"
"Pym","M"
"Pynchon","M"
"Pyongyang","M"
"Pyotr","M"
"Pyrenees","M"
"Pyrex","MS"
"Pyrrhic","M"
"Pythagoras","M"
"Pythagorean","M"
"Pythias","M"
"Python","M"
"Q",NA
"QA",NA
"QB",NA
"QC",NA
"QED",NA
"QM",NA
"QWERTY",NA
"Qaddafi","M"
"Qantas","M"
"Qatar","M"
"Qatari","MS"
"Qingdao","M"
"Qinghai","M"
"Qiqihar","M"
"Qom","M"
"Quaalude","M"
"Quaker","MS"
"Quakerism","SM"
"Qualcomm","M"
"Quaoar","M"
"Quasimodo","M"
"Quaternary","M"
"Quayle","M"
"Que",NA
"Quebec","M"
"Quebecois","M"
"Quechua","M"
"Queen","MS"
"Queens","M"
"Queensland","M"
"Quentin","M"
"Quetzalcoatl","M"
"Quezon","M"
"Quincy","M"
"Quinn","M"
"Quintilian","M"
"Quinton","M"
"Quirinal","M"
"Quisling","M"
"Quito","M"
"Quixote","M"
"Quixotism","M"
"Qumran","M"
"Quonset","M"
"Quran",NA
"Quranic",NA
"R","M"
"RAF","M"
"RAM","SM"
"RBI",NA
"RC",NA
"RCA","M"
"RCMP",NA
"RD",NA
"RDA",NA
"RDS","M"
"REIT",NA
"REM","SM"
"RF",NA
"RFC","S"
"RFD",NA
"RI",NA
"RIF",NA
"RIP",NA
"RISC",NA
"RN","M"
"RNA","M"
"ROFL",NA
"ROM","M"
"ROTC","M"
"RP",NA
"RR",NA
"RSFSR",NA
"RSI",NA
"RSV",NA
"RSVP",NA
"RTFM",NA
"RV","SM"
"Ra","M"
"Rabat","M"
"Rabelais","M"
"Rabelaisian","M"
"Rabin","M"
"Rachael","M"
"Rachel","M"
"Rachelle","M"
"Rachmaninoff","M"
"Racine","M"
"Radcliff","M"
"Radcliffe","M"
"Rae","M"
"Rafael","M"
"Raffles","M"
"Ragnarok","M"
"Rainier","M"
"Raleigh","M"
"Ralph","M"
"Rama","M"
"Ramada","M"
"Ramadan","MS"
"Ramakrishna","M"
"Ramanujan","M"
"Ramayana","M"
"Rambo","M"
"Ramirez","M"
"Ramiro","M"
"Ramon","M"
"Ramona","M"
"Ramos","M"
"Ramsay","M"
"Ramses","M"
"Ramsey","M"
"Rand","M"
"Randal","M"
"Randall","M"
"Randell","M"
"Randi","M"
"Randolph","M"
"Randy","M"
"Rangoon","M"
"Rankin","M"
"Rankine","M"
"Raoul","M"
"Raphael","M"
"Rappaport","M"
"Rapunzel","M"
"Raquel","M"
"Rasalgethi","M"
"Rasalhague","M"
"Rasmussen","M"
"Rasputin","M"
"Rasta",NA
"Rastaban","M"
"Rastafarian","MS"
"Rastafarianism",NA
"Rather","M"
"Ratliff","M"
"Raul","M"
"Ravel","M"
"Rawalpindi","M"
"Ray","M"
"RayBan","M"
"Rayburn","M"
"Rayleigh","M"
"Raymond","M"
"Raymundo","M"
"Rb","M"
"Rd",NA
"Re","M"
"Reading","M"
"Reagan","M"
"Reaganomics","M"
"Realtor","M"
"Reasoner","M"
"Reba","M"
"Rebekah","M"
"Recife","M"
"Reconstruction","M"
"Redding","M"
"Redeemer","M"
"Redford","M"
"Redgrave","M"
"Redis","M"
"Redmond","M"
"Redshift","M"
"Reebok","M"
"Reed","M"
"Reese","M"
"Reeves","M"
"Reformation","MS"
"Refugio","M"
"Reggie","M"
"Regina","M"
"Reginae","M"
"Reginald","M"
"Regor","M"
"Regulus","M"
"Rehnquist","M"
"Reich","M"
"Reichstag's",NA
"Reid","M"
"Reilly","M"
"Reinaldo","M"
"Reinhardt","M"
"Reinhold","M"
"Remarque","M"
"Rembrandt","M"
"Remington","M"
"Remus","M"
"Rena","M"
"Renaissance","SM"
"Renascence",NA
"Renault","M"
"Rene","M"
"Renee","M"
"Reno","M"
"Renoir","M"
"Rep",NA
"Representative",NA
"Republican","SM"
"Republicanism",NA
"Requiem","MS"
"Resistance",NA
"Restoration","M"
"Resurrection",NA
"Reuben","M"
"Reunion","M"
"Reuters","M"
"Reuther","M"
"Rev",NA
"Reva","M"
"Revelation","SM"
"Revelations","M"
"Revere","M"
"Reverend","M"
"Revlon","M"
"Rex","M"
"Reyes","M"
"Reykjavik","M"
"Reyna","M"
"Reynaldo","M"
"Reynolds","M"
"Rf","M"
"Rh","M"
"Rhea","M"
"Rhee","M"
"Rheingau","M"
"Rhenish","M"
"Rhiannon","M"
"Rhine","M"
"Rhineland","M"
"Rhoda","M"
"Rhode","S"
"Rhodes","M"
"Rhodesia","M"
"Rhodesian",NA
"Rhonda","M"
"Rhone","M"
"Ribbentrop","M"
"Ricardo","M"
"Rice","M"
"Rich","M"
"Richard","MS"
"Richards","M"
"Richardson","M"
"Richelieu","M"
"Richie","M"
"Richmond","M"
"Richter","M"
"Richthofen","M"
"Rick","M"
"Rickenbacker","M"
"Rickey","M"
"Rickie","M"
"Rickover","M"
"Ricky","M"
"Rico","M"
"Riddle","M"
"Ride","M"
"Riefenstahl","M"
"Riel","M"
"Riemann","M"
"Riesling","MS"
"Riga","M"
"Rigel","M"
"Riggs","M"
"Right",NA
"Rigoberto","M"
"Rigoletto","M"
"Riley","M"
"Rilke","M"
"Rimbaud","M"
"Ringling","M"
"Ringo","M"
"Rio","SM"
"Rios","M"
"Ripley","M"
"Risorgimento","M"
"Rita","M"
"Ritalin","M"
"Ritz","M"
"Rivas","M"
"Rivera","M"
"Rivers","M"
"Riverside","M"
"Riviera","MS"
"Riyadh","M"
"Rizal","M"
"Rn","M"
"Roach","M"
"Roanoke","M"
"Rob","M"
