"word","part_of_speech"
"Altman","M"
"Altoids","M"
"Alton","M"
"Altoona","M"
"Aludra","M"
"Alva","M"
"Alvarado","M"
"Alvarez","M"
"Alvaro","M"
"Alvin","M"
"Alyce","M"
"Alyson","M"
"Alyssa","M"
"Alzheimer","M"
"Am","MNR"
"Amadeus","M"
"Amado","M"
"Amalia","M"
"Amanda","M"
"Amarillo","M"
"Amaru","M"
"Amaterasu","M"
"Amati","M"
"Amazon","SM"
"Amazonian",NA
"Amber","M"
"Amelia","M"
"Amen","M"
"Amenhotep","M"
"Amerasian","M"
"America","SM"
"American","MS"
"Americana","M"
"Americanism","MS"
"Americanization","MS"
"Americanize","GDS"
"Amerind","SM"
"Amerindian","MS"
"Ames","M"
"Ameslan","M"
"Amgen","M"
"Amharic","M"
"Amherst","M"
"Amie","M"
"Amiga","M"
"Amish","M"
"Amman","M"
"Amoco","M"
"Amos","M"
"Amparo","M"
"Ampere","M"
"Amritsar","M"
"Amsterdam","M"
"Amtrak","M"
"Amundsen","M"
"Amur","M"
"Amway","M"
"Amy","M"
"Ana","M"
"Anabaptist","M"
"Anabel","M"
"Anacin","M"
"Anacreon","M"
"Anaheim","M"
"Analects","M"
"Ananias","M"
"Anasazi","M"
"Anastasia","M"
"Anatole","M"
"Anatolia","M"
"Anatolian","M"
"Anaxagoras","M"
"Anchorage","M"
"Andalusia","M"
"Andalusian","M"
"Andaman","M"
"Andean","M"
"Andersen","M"
"Anderson","M"
"Andes","M"
"Andorra","M"
"Andorran","SM"
"Andre","MS"
"Andrea","M"
"Andrei","M"
"Andres","M"
"Andretti","M"
"Andrew","SM"
"Andrews","M"
"Andrianampoinimerina","M"
"Android","M"
"Andromache","M"
"Andromeda","M"
"Andropov","M"
"Andy","M"
"Angara","M"
"Angel","M"
"Angela","M"
"Angeles","M"
"Angelia","M"
"Angelica","M"
"Angelico","M"
"Angelina","M"
"Angeline","M"
"Angelique","M"
"Angelita","M"
"Angelo","M"
"Angelou","M"
"Angevin","M"
"Angie","M"
"Angkor","M"
"Angle","MS"
"Angleton","M"
"Anglia","M"
"Anglican","SM"
"Anglicanism","MS"
"Anglicism","MS"
"Anglicization",NA
"Anglicize",NA
"Anglo","M"
"Anglophile","M"
"Anglophobe",NA
"Angola","M"
"Angolan","MS"
"Angora","SM"
"Angstrom","M"
"Anguilla","M"
"Angus","M"
"Anhui","M"
"Aniakchak","M"
"Anibal","M"
"Anita","M"
"Ankara","M"
"Ann","M"
"Anna","M"
"Annabel","M"
"Annabelle","M"
"Annam","M"
"Annapolis","M"
"Annapurna","M"
"Anne","M"
"Annette","M"
"Annie","M"
"Anniston","M"
"Annmarie","M"
"Annunciation","SM"
"Anouilh","M"
"Anselm","M"
"Anselmo","M"
"Anshan","M"
"Antaeus","M"
"Antananarivo","M"
"Antarctic","M"
"Antarctica","M"
"Antares","M"
"Anthony","M"
"Anthropocene",NA
"Antichrist","SM"
"Antietam","M"
"Antifa","M"
"Antigone","M"
"Antigua","M"
"Antillean",NA
"Antilles","M"
"Antioch","M"
"Antipas","M"
"Antipodes",NA
"Antofagasta","M"
"Antoine","M"
"Antoinette","M"
"Anton","M"
"Antone","M"
"Antonia","M"
"Antoninus","M"
"Antonio","M"
"Antonius","M"
"Antony","M"
"Antwan","M"
"Antwerp","M"
"Anubis","M"
"Anzac","M"
"Apache","SM"
"Apalachicola","M"
"Apatosaurus",NA
"Apennines","M"
"Aphrodite","M"
"Apia","M"
"Apocalypse","M"
"Apocrypha","M"
"Apollinaire","M"
"Apollo","SM"
"Apollonian","M"
"Apostle","M"
"Appalachia","M"
"Appalachian","SM"
"Appalachians","M"
"Appaloosa","SM"
"Apple","M"
"Appleseed","M"
"Appleton","M"
"Appomattox","M"
"Apr","M"
"April","MS"
"Apuleius","M"
"Aquafresh","M"
"Aquarian",NA
"Aquarius","MS"
"Aquila","M"
"Aquinas","M"
"Aquino","M"
"Aquitaine","M"
"Ar","M"
"Ara","M"
"Arab","SM"
"Arabia","M"
"Arabian","MS"
"Arabic","M"
"Arabist","MS"
"Araby","M"
"Araceli","M"
"Arafat","M"
"Aragon",NA
"Araguaya","M"
"Aral","M"
"Aramaic","M"
"Aramco","M"
"Arapaho","MS"
"Arapahoes",NA
"Ararat","M"
"Araucanian","M"
"Arawak","M"
"Arawakan","M"
"Arbitron","M"
"Arcadia","M"
"Arcadian","M"
"Archean","M"
"Archibald","M"
"Archie","M"
"Archimedes","M"
"Arctic","M"
"Arcturus","M"
"Ardabil",NA
"Arden","M"
"Arduino","M"
"Arecibo","M"
"Arequipa","M"
"Ares","M"
"Argentina","M"
"Argentine","M"
"Argentinean",NA
"Argentinian","MS"
"Argo","SM"
"Argonaut","MS"
"Argonne","M"
"Argos","M"
"Argus","M"
"Ariadne","M"
"Arianism","M"
"Ariel","M"
"Aries","MS"
"Ariosto","M"
"Aristarchus","M"
"Aristides","M"
"Aristophanes","M"
"Aristotelian","M"
"Aristotle","M"
"Arius","M"
"Ariz",NA
"Arizona","M"
"Arizonan","SM"
"Arizonian","MS"
"Arjuna","M"
"Ark","M"
"Arkansan","MS"
"Arkansas","M"
"Arkhangelsk","M"
"Arkwright","M"
"Arlene","M"
"Arline","M"
"Arlington","M"
"Armageddon","SM"
"Armagnac","M"
"Armand","M"
"Armando","M"
"Armani","M"
"Armenia","M"
"Armenian","SM"
"Arminius","M"
"Armonk","M"
"Armour","M"
"Armstrong","M"
"Arneb","M"
"Arnhem","M"
"Arno","M"
"Arnold","M"
